izo,rocnik,poznamka,ucivo,blok RVP,ucivo RVP
000241610,9,,Postavení Československa,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
000241610,9,,Problematika poválečného světa,MODERNÍ DOBA,jiné
000241610,9,,Rozdělení světa do vojenských bloků reprezentovaných supervelmocemi,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
000241610,9,,"Politické, hospodářské, sociální a ideologické soupeření",ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
000241610,9,,Vnitřní situace v zemích východního bloku,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,vnitřní situace v zemích východního bloku (na vybraných příkladech srovnání s charakteristikou západních zemí)
000241610,9,,Srovnání s charakteristikou západních zemí,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,vnitřní situace v zemích východního bloku (na vybraných příkladech srovnání s charakteristikou západních zemí)
000241610,9,,Rozpad koloniálního systému,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"rozpad koloniálního systému, mimoevropský svět"
000241610,9,,Mimoevropský svět,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"rozpad koloniálního systému, mimoevropský svět"
000241610,9,,Věda a technika jako faktory vývoje,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"věda, technika a vzdělání jako faktory vývoje; sport a zábava"
000241610,9,,Sport a zábava,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"věda, technika a vzdělání jako faktory vývoje; sport a zábava"
000241610,9,,Československo po 2. světové válce po současnost,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"vývoj Československa od roku 1945 do roku 1989, vznik České republiky"
000241806,6,,,,
000241806,6,,význam zkoumání dějin,ČLOVĚK V DĚJINÁCH,"význam zkoumání dějin, získávání informací o dějinách; historické prameny"
000241806,6,,získávání konkrétních informací o dějinách,ČLOVĚK V DĚJINÁCH,"význam zkoumání dějin, získávání informací o dějinách; historické prameny"
000241806,6,,historické prameny,ČLOVĚK V DĚJINÁCH,"význam zkoumání dějin, získávání informací o dějinách; historické prameny"
000241806,6,,historický čas a prostor,ČLOVĚK V DĚJINÁCH,historický čas a prostor
000241806,6,,časová osa,ČLOVĚK V DĚJINÁCH,historický čas a prostor
000241806,6,,periodizace dějin,ČLOVĚK V DĚJINÁCH,historický čas a prostor
000241806,6,,dějiny lidské společnosti,POČÁTKY LIDSKÉ SPOLEČNOSTI,jiné
000241806,6,,pravěk - lovci a sběrači,POČÁTKY LIDSKÉ SPOLEČNOSTI,člověk a lidská společnost v pravěku
000241806,6,,člověk a lidská společnost,POČÁTKY LIDSKÉ SPOLEČNOSTI,člověk a lidská společnost v pravěku
000241806,6,,vznik zemědělství,POČÁTKY LIDSKÉ SPOLEČNOSTI,člověk a lidská společnost v pravěku
000241806,6,,dobytekářství,POČÁTKY LIDSKÉ SPOLEČNOSTI,člověk a lidská společnost v pravěku
000241806,6,,zpracování kovů,POČÁTKY LIDSKÉ SPOLEČNOSTI,člověk a lidská společnost v pravěku
000241806,6,,pravěká kultura na našem území,POČÁTKY LIDSKÉ SPOLEČNOSTI,jiné
000241806,6,,využití digitálních zdrojů informací,ČLOVĚK V DĚJINÁCH,jiné
000241806,6,,nejstarší starověké civilizace - Mezopotámie,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
000241806,6,,Persie a Palestina,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
000241806,6,,Egypt,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
000241806,6,,kulturní odkaz starověkých civilizací,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
000241806,6,,nejstarší civilizace,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
000241806,6,,kořeny Evropské kultury - antické Řecko,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
000241806,6,,antický Řím,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
000241806,6,,křesťanství,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"křesťanství, papežství, císařství, křížové výpravy"
000241806,6,,antické Řecko a Řím,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
000241806,6,,společnost,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
000241806,6,,politické systémy,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
000241806,6,,vznik demokracie,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
000241806,7,,,,
000241806,7,,nový etnický obraz Evropy,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,nový etnický obraz Evropy
000241806,7,,utváření států ve východoevropském a západoevropském kulturním okruhu a jejich specifický vývoj,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,utváření států ve východoevropském a západoevropském kulturním okruhu a jejich specifický vývoj
000241806,7,,"Velká Morava a český stát, jejich vnitřní vývoj a postavení v Evropě",KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"Velká Morava a český stát, jejich vnitřní vývoj a postavení v Evropě"
000241806,7,,křesťanství,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"křesťanství, papežství, císařství, křížové výpravy"
000241806,7,,papežství,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"křesťanství, papežství, císařství, křížové výpravy"
000241806,7,,císařství,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"křesťanství, papežství, císařství, křížové výpravy"
000241806,7,,křížové výpravy,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"křesťanství, papežství, císařství, křížové výpravy"
000241806,7,,struktura středověké společnosti,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"struktura středověké společnosti, funkce jednotlivých vrstev"
000241806,7,,funkce jednotlivých vrstev,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"struktura středověké společnosti, funkce jednotlivých vrstev"
000241806,7,,kultura středověké společnosti,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,kultura středověké společnosti - románské a gotické umění a vzdělanost
000241806,7,,románské umění,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,kultura středověké společnosti - románské a gotické umění a vzdělanost
000241806,7,,gotické umění,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,kultura středověké společnosti - románské a gotické umění a vzdělanost
000241806,7,,vzdělanost,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,kultura středověké společnosti - románské a gotické umění a vzdělanost
000241806,7,,renesance,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
000241806,7,,humanismus,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
000241806,7,,požadavky reformování církve,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
000241806,7,,husitství,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
000241806,7,,reformace,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
000241806,7,,česká společnost,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
000241806,7,,zámořské objevy,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,zámořské objevy a počátky dobývání světa
000241806,7,,počátky dobývání světa,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,zámořské objevy a počátky dobývání světa
000241806,7,,využití digitálních zdrojů informací,JINÉ,jiné dějepisné téma
